Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria),Custom field (Acceptance Criteria:),Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Amount),Custom field (Approvals),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Audience),Custom field (Campaign assets),Custom field (Campaign goals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Design file),Custom field (Design file),Custom field (Designs ready),Custom field (Designs ready),Custom field (Details),Custom field (Development),Custom field (Documents),Custom field (Documents),Custom field (Effort),Custom field (Effort),Custom field (Environment),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Error Handling),Custom field (Error Handling),Custom field (Error Handling),Custom field (Error Handling),Custom field (Focus Areas),Custom field (Format),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea short description),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project start),Custom field (Project target),Custom field (Project target),Custom field (Rank),Custom field (Related projects),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Roadmap),Custom field (Roadmap),Satisfaction rating,Custom field (Satisfaction date),Custom field (Score),Custom field (Score),Custom field (Sentiment),Custom field (Start date),Custom field (State),Custom field (State),Custom field (Steps to reproduce),Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Type),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Discovery,DAN-13,10625,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,27/Apr/26 9:40 PM,,,0,discovery,"This epic covers all discovery activities required to establish clear project vision, gather stakeholder requirements, define user roles and permissions, create user journeys and wireframes, and publish a signed-off Software Requirements Specification (SRS) and initial backlog. Successful completion of this epic is a prerequisite for all implementation epics.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dc8d894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001q7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Project Foundation & Infrastructure Setup,DAN-14,10626,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"infrastructure,foundation","This epic establishes the foundational technical infrastructure and project scaffolding. It includes setting up the Flutter mobile application structure, configuring environment variables for dev/test/prod, establishing authentication and API schema foundations, implementing a CI/CD pipeline, and enabling logging and monitoring. These components underpin all subsequent development work.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65b07bf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001qf:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Authentication & Agent Account Management,DAN-15,10627,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,27/Apr/26 9:27 PM,,,0,"authentication,security","This epic delivers secure agent authentication and account management capabilities. It includes agent login with credential validation, self-service password reset, agent profile management, and role-based access control enforcement to ensure agents and admins can only access permitted features.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e9ff98d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001qn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Booking Request Creation,DAN-16,10628,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"booking,agent","This epic enables real estate agents to create photography booking requests through a multi-step form. It covers initiating a booking request, entering property address and details, selecting preferred date and time, choosing from available service packages, adding optional notes, and receiving submission confirmation with booking reference details.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4e6d982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001qv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Booking Tracking & Status Management,DAN-17,10629,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"booking,tracking","This epic provides agents with full visibility into their booking requests. It covers viewing a list of all current and historical bookings, accessing detailed booking information, tracking real-time status changes, and reviewing the full booking event history in chronological order.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ec97555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001r3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Admin Booking Management Portal,DAN-18,10630,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"admin,booking","This epic delivers the operations team's admin portal for managing photography bookings. It includes a summary dashboard with booking metrics, a queue for reviewing incoming requests, tools to update booking statuses, the ability to add internal operational notes, and search/filter capabilities to locate specific booking records efficiently.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6cd18b84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Messaging & Notifications,DAN-19,10631,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"messaging,notifications","This epic covers in-platform messaging and automated notification delivery. It includes agent enquiry submission against bookings, booking confirmation notifications to agents, status-change alerts, and email notifications triggered by key booking lifecycle events for consistent and auditable communication.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fabac90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
"Services, Packages & Pricing Rules",DAN-20,10632,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"services,pricing","This epic enables admin management of the service catalogue, package configuration, and pricing rules. It covers creating and editing service offerings, configuring bundled service packages, applying special pricing for negotiated agent accounts, and displaying a line-item pricing breakdown to agents before booking submission.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a5f0868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Floor Plan Upload & Barfoot Integration,DAN-21,10633,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,27/Apr/26 9:38 PM,,,0,"integration,barfoot","This epic delivers the floor plan upload workflow and integration with Barfoot & Thompson's listing platform. It covers uploading floor plan image files, entering a Barfoot listing ID for mapping, pushing the floor plan to the target listing's media tabs, replacing an existing floor plan, and validating API access and integration testing.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7a432869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001rz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Ubookr Third-Party Integration,DAN-22,10634,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"integration,ubookr","This epic covers the assessment and implementation of optional data sync with the Ubookr third-party booking platform. It includes discovering integration requirements and feasibility, implementing booking data synchronization, and handling integration errors with appropriate logging and manual follow-up support. This is an optional delivery phase.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c80c8c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001s7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
"QA, UAT & Release Readiness",DAN-23,10635,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"qa,uat,testing","This epic ensures the platform meets quality and acceptance standards before launch. It covers executing functional and device compatibility testing, remediating defects identified during QA and UAT, performing formal user acceptance testing with business stakeholders, and completing a release readiness checklist to confirm all launch prerequisites are satisfied.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e8fa449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001sf:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Launch & Deployment,DAN-24,10636,Epic,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 7:22 PM,,,,0,"launch,deployment","This epic covers the final production deployment and go-live activities. It includes deploying the application to the production environment, providing active go-live monitoring and support to stabilize the platform during launch, and preparing handover documentation including runbooks, support contacts, and operational procedures for the ongoing operations team.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64f7290f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,,,,0|i001sn:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,27/Apr/26 7:22 PM
Define Project Vision,DAN-25,10637,Story,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 9:19 PM,,,,0,discovery,"User Story:
As a product owner, I want to document the project vision and success criteria, so that I can align stakeholders on what the platform must achieve.

Acceptance Criteria:
1. Given stakeholder objectives are collected, when I review the project vision, then I can see measurable outcomes and scope boundaries.
2. Given delivery planning starts, when the team references the vision, then roadmap decisions align to agreed business goals.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34d62a4c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001sv:,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,10625,DAN-13,Discovery,To Do,27/Apr/26 7:22 PM
Gather Requirements,DAN-26,10638,Story,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:22 PM,27/Apr/26 9:19 PM,,,,0,discovery,"User Story:
As a business analyst, I want to gather and consolidate detailed requirements from stakeholders, so that I can produce a complete and actionable scope baseline.

Acceptance Criteria:
1. Given stakeholder interviews and emails are available, when I compile requirements, then all functional and non-functional requirements are captured in one place.
2. Given conflicting inputs exist, when I document requirements, then unresolved items are clearly marked as open questions.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3358f232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001t3:,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,10625,DAN-13,Discovery,To Do,27/Apr/26 7:22 PM
Define User Roles & Permissions,DAN-27,10639,Story,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:23 PM,27/Apr/26 9:25 PM,,,,0,"discovery,security","User Story:
As a solution architect, I want to define user roles and permissions, so that I can enforce appropriate access control across the platform.

Acceptance Criteria:
1. Given role definitions are drafted, when I validate access rules, then agent and admin permissions are clearly separated.
2. Given security review is performed, when role matrices are inspected, then each key function has an authorized role assigned.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@45c2f404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001tb:,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,10625,DAN-13,Discovery,To Do,27/Apr/26 7:23 PM
Create User Journeys & Wireframes,DAN-28,10640,Story,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:23 PM,27/Apr/26 9:26 PM,,,,0,"discovery,ux","User Story:
As a UX designer, I want to map user journeys and produce wireframes for key screens, so that I can validate flow and usability before development.

Acceptance Criteria:
1. Given core workflows are identified, when I complete journey maps, then each critical path includes start, decision, and completion states.
2. Given wireframes are reviewed, when stakeholders provide feedback, then required changes are tracked for scope refinement.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37b0b6a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001tj:,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,10625,DAN-13,Discovery,To Do,27/Apr/26 7:23 PM
Publish SRS and Initial Backlog,DAN-29,10641,Story,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:23 PM,27/Apr/26 9:26 PM,27/Apr/26 9:26 PM,,,0,discovery,"User Story:
As a project manager, I want to publish an SRS and initial backlog, so that I can move the team into implementation with signed-off scope.

Acceptance Criteria:
1. Given discovery outputs are finalized, when I publish the SRS, then requirements, constraints, and acceptance expectations are documented.
2. Given delivery planning begins, when Jira stories are reviewed, then each story has clear acceptance criteria and priority.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6e3a0a07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001tr:,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,10625,DAN-13,Discovery,To Do,27/Apr/26 7:23 PM
Setup Flutter Project Foundation,DAN-30,10642,Story,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:23 PM,27/Apr/26 9:26 PM,27/Apr/26 9:26 PM,,,0,"foundation,flutter","User Story:
As a developer, I want to establish the Flutter project foundation, so that I can build features on a consistent application structure.

Acceptance Criteria:
1. Given repository setup is complete, when I run the app locally, then the baseline project builds successfully.
2. Given new contributors join, when they inspect project structure, then core modules and conventions are clearly organized.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d5e1ddf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001tz:,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,10626,DAN-14,Project Foundation & Infrastructure Setup,To Do,27/Apr/26 7:23 PM
Configure Environments,DAN-31,10643,Story,To Do,DAN,danpics,software,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Your first project,Medium,,,,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,27/Apr/26 7:23 PM,27/Apr/26 9:26 PM,27/Apr/26 9:26 PM,,,0,"infrastructure,devops","User Story:
As a DevOps engineer, I want to configure development, test, and production environments, so that I can support safe and predictable deployments.

Acceptance Criteria:
1. Given environment variables are defined, when each environment is deployed, then environment-specific settings are correctly applied.
2. Given a release is prepared, when configuration is validated, then no production secrets are exposed in lower environments.",,Jamie Walker,712020:c1a18936-7c41-4504-b38f-e0d70bf5f939,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9ca5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001u7:,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,10626,DAN-14,Project Foundation & Infrastructure Setup,To Do,27/Apr/26 7:23 PM
